,sentence1,sentence2,score
564,پس چه باشد عشق درياى عدم‏  در شكسته عقل را آن جا قدم‏,وارهى از تنگى و از ننگ و نام‏  عشق اندر عشق بينى و السلام‏,2.5
565,قضا و قدر,تا تو عالم باشى و عادل قضا  نامناسب چون دهد داد و سزا,4
566,مکر الهی,مكر حق را بين و مكر خود بهل‏  اى ز مكرش مكر مكاران خجل‏,4.5
567,معرفت ذات  معرفت صفات,طاعت عامه گناه خاصگان‏  وصلت عامه حجاب خاص دان‏,3.5
568,معجزه,چون به يك شب مه بريد ابراج را  از چه منكر مى‏شوى معراج را,3.5
569,گر نديدى سود او در قهر او  كى شدى آن لطف مطلق قهر جو,"چاره‏ى دفع بلا نبود ستم‏		چاره احسان باشد و عفو و كرم‏
",2
570,توکل,آن كه بهر خود زند او ضامن است‏  وان كه بهر حق زند او آمن است‏,4
571,خیال و وهم و گمان,هر خيالى را خيالى مى‏خورد  فكر آن فكر دگر را مى‏چرد,4
572,تزکیۀ نفس، نتیجه,چون كه خواه نفس آمد مستعان‏  تسخر آمد ايش شاء اللَّه كان‏,1
573,این سخن پایان ندارد مارگیر  میکشید آن مار را با صد زحیر,شرح عشق ار من بگويم بر دوام‏  صد قيامت بگذرد و آن ناتمام‏,3
574,این خود اجزا ند، کلیات ازاو  زرد کرده رنگ و فاسد کرده بو,اين دو را مشهور گردانيد اله‏  تا كه باشد اين دو بر باقى گواه‏,2
575,خیال و وهم و گمان ,پس مگو جمله خيال است و ضلال‏  بى‏حقيقت نيست در عالم خيال‏,4
576,سخن ناقص  سخن شر,گفت بشنيدم سخن كر نيستم‏  تا نپندارى كه بى‏معنيستم‏,3.5
577,خوف و رجا,اين همه ترسنده‏اند از نيك و بد  هيچ ترسنده نترسد خود ز خود,4.5
578,دعا,دست اشكسته بر آور در دعا  سوى اشكسته پرد فضل خدا,5
579,در درون سینه مهرش کاشتند  نایب عیسی ش میپنداشتند,ثُمَّ الَّذِينَ كَفَرُوا بِرَبِّهِمْ يَعْدِلُونَ‏,0
580,مفهوم درد,"ور بگفتى كه به درد آمد سرم‏		ور بگفتى درد سر شد خوشترم‏
",2
581,ابلیس,شد مصور آن زمان ابليس زود  گفت اى قحبه‏ى قديد بى‏ورود,4
582,پیوند عشق مجازی با عشق حقیقی,آن چه محسوس است اگر معشوقه است‏  عاشق استى هر كه او را حس هست‏,3
583,تزکیۀ نفس، نتیجه,احتما اصل دوا آمد يقين‏  احتما كن قوت جان را ببين‏,2
584,نبوت، رسالت,"چون ز ذات حق بعيدى وصف ذات‏		باز دانى از رسول و معجزات‏
",2
585,کریم بودن خداوند,"چون كه در عهد خدا كردى وفا		از كرم عهدت نگه دارد خدا
",4.5
586,عشق,"عشق معشوقان دو رخ افروخته‏		عشق عاشق جان او را سوخته‏
",3
587,تو مگو ما را بدان شه بار نیست  با کریمان کارها دشوار نیست,"ده خداوندى عاريت به حق‏		تا خداونديت بخشد متفق‏
",2.5
588,ضرورت پیروی از پیر و اولیا,بنده‏ى شهوت بتر نزديك حق‏  از غلام و بندگان مسترق‏,2
589,هوش جزوی و کلی,عقل جزوى گاه چيره گه نگون‏  عقل كلى ايمن از ريب المنون‏,4.5
590,ور برای بنده‌شست این گفت تو  آنک حق گفت او منست و من خود او,"مى‏فتد اين عقلها در افتقاد		در مغاكى حلول و اتحاد
",2.5
591,ادب, ,0
592,نشانۀ دوستی,نه نشان دوستى شد سر خوشى‏  در بلا و آفت و محنت كشى‏,5
593,جنس  هم جنس,جنسها با جنسها آميخته‏  زين تجانس زينتى انگيخته‏,5
594,پیوند عشق مجازی با عشق حقیقی,عامل عشق است معزولش مكن‏  جز به عشق خويش مشغولش مكن‏,3.5
595,سجده (سجود),پس دو تا بايد كمند اندر صور  گر چه يكتا باشد آن دو در اثر,2.5
596,کای کریمی که در آن لیل وحش  گنج رحمت بنهی و چندین چشش,"پس حقيقت حق بود معبود كل‏		كز پى ذوق است سيران سبل‏
",0.5
597,تزکیۀ نفس,كردى اى نفس بد بارد نفس‏  بى‏حفاظى با شه فريادرس‏,3
598,قدر همت باشد آن جهد و دعا  لیس للانسان الا ما سعی,"قدر همت باشد آن جهد و دعا		لَيْسَ لِلْإِنْسانِ إِلَّا ما سَعى‏
",3
599,لذت دست شکربخشت بداشت اندر این بطیخ تلخی کی گذاشت؟,قهر گردد دشمن اما دوست نى‏  دوست كى گردد ببسته گردنى‏,4
600,هم سخن دیدی تو خود را با خدا  ای بسا کو زین گمان، افتد جدا,غير اين معقولها معقولها  يابى اندر عشق با فر و بها,1
601,عشق مجازی و حقیقی,گر محبت فكرت و معنيستى‏  صورت روزه و نمازت نيستى‏,3.5
602,جوشش خون,خون به جوش آمد ز شعله‏ى اشتياق‏  تا پديد آمد بر آن مجنون خناق‏,4.5
603,جسم و جان  صورت و معنی,خوف و جوع و نقص اموال و بدن‏  جمله بهر نقد جان ظاهر شدن‏,2.5
604,سرپوشی  رازداری,گفت هر رازی نشاید بازگفت  جفت طاق آید گهی گه طاق جفت,5
605,فراست,فازن بالحرة پى اين شد مثل‏  فاسرق الدرة بدين شد منتقل‏,2
606,پیوند عشق و بقا ,گفت پیری مر طبیبی را که من  در زحیرم از دماغ خویشتن,3
607,حکایت اختلاف کردن در چگونگی و شکل پیل,در کف هرکس اگر شمعی بدی  اختلاف از گفتشان بیرون شدی,4
608,غربت,گفت عزم تو كجا اى بايزيد  رخت غربت را كجا خواهى كشيد,3.5
609,ادب,اين فقير بى‏ادب نادر خور است‏  ليك لطف عام تو ز آن برتر است‏,3
610,هستی و خداوند,ده خداوندى عاريت به حق‏  تا خداونديت بخشد متفق‏,2.5
611,مفهوم درد,"گر نگوييم آن نيايد راست نرد		ور بگوييم آن دلت آيد به درد
",2.5
612,مرگ,وقت مرگ از رنج او را مى‏درند  او بدان مشغول شد جان مى‏برند,4
613,غربت,چه غزا ما بى‏غزا خود كشته‏ايم‏  ما به تيغ فقر بى‏سر گشته‏ايم‏,1
614,بستهٔ قهر خفی وانگه چه قهر  قند می‌خوردید و در وی درج زهر,"محض مهر و داورى و رحمتند		همچو حق بى‏علت و بى‏رشوتند
",2
615,مشورت  مصاحبت و همنشینی,مشورت مى‏كرد شخصى با كسى‏  كز تردد وا رهد وز محبسى‏,5
616,عقل پنهان‌ست و ظاهر عالمی  صورت ما موج یا از وی نمی," اذْكُرْنِي عِنْدَ رَبِّكَ‏
",0
617,دیوانگی  دیوانه,حرص كور و احمق و نادان كند  مرگ را بر احمقان آسان كند,2
618,دور گردون ها ز موج عشق دان   گر نبودی عشق بفسردی جهان,عشق معشوقان دو رخ افروخته‏  عشق عاشق جان او را سوخته‏,5
619,خداشناسی ,"نص وحى روح قدسى دان يقين‏		و آن قياس عقل جزوى تحت اين‏
",0.5
620,پیوند عشق مجازی با عشق حقیقی,از محبت دردها صافى شود  از محبت دردها شافى شود,3.5
621,معجزه,اين چنين مستى است ز استدراج حق‏  تا چه مستيها كند معراج حق‏,4
622,هوش جزوی و کلی,عقل كل را گفت‏ ما زاغَ الْبَصَرُ  عقل جزوى مى‏كند هر سو نظر,4
623,فنا و بقا,تا نگردد فوت اين نوع التقا  كآن نظر بخت است و اكسير بقا,2
624,تاویل,فكر خود را گر كنى تاويل به‏  كه كنى تاويل اين نامشتبه‏,4
625,خیال و وهم و گمان ,اندر اين انديشه بيرون شد به كوى‏  و اندر اين فكرت همى‏شد سو به سوى‏,3.5
626,شش جهت عالم همه اکرام اوست  هر طرف که بنگری اعلام اوست,"سبق رحمت بر غضب هست اى فتا		لطف غالب بود در وصف خدا
",4
627,غذا و طعام,ز آتش دل و آب دیده نقل ساز  بوستان از ابر و خورشید است باز,4
628,تجلی خداوند,"مر بدان را ستر چون حلم خدا		خلق او بر عكس خلقان و جدا
",0
629,بوى جانى سوى جانم مى‏رسد  بوى يار مهربانم مى‏رسد,چون در اين دل برق مهر دوست جست‏  اندر آن دل دوستى مى‏دان كه هست‏,4
630,هوش کلی و جزوی,باز عقلی کو رمد از عقل عقل  کرد از عقلی به حیوانات نقل,5
631,استدراج,اندر استغنا مراعات نياز  جمع ضدين است چون گرد و دراز,2
632,جسم و جان  صورت و معنی,صورت رفعت براى جسمهاست‏  جسمها در پيش معنى اسمهاست‏,4
633,ضرورت پیروی از پیر و اولیا,جز مگر پيرى كه از حق است مست‏  در درون او حيات طيبه است‏,3
634,زین خرد جاهل همی باید شدن   دست در دیوانگی باید زدن,آشنايى عقل با عقل از صفا  چون شود هر دم فزون باشد ولا,4.5
635,تقلید,چون ز كورى دزد دزدد كاله‏اى‏  مى‏كند آن كور عميا ناله‏اى‏,2
636,گفت‏ وَ اسْجُدْ وَ اقْتَرِبْ‏ يزدان ما  قرب جان شد سجده‏ى ابدان ما,چون چنين وسواس ديدى زود زود  با خدا گرد و در آ اندر سجود,4
637,هوش کلی و جزوی,عقل كل را گفت‏ ما زاغَ الْبَصَرُ  عقل جزوى مى‏كند هر سو نظر,4
638,دوست نمای فرعی,قهر گردد دشمن اما دوست نى‏  دوست كى گردد ببسته گردنى‏,3.5
639,عشق,ميل و عشق آن شرف هم سوى جان‏  زين يحب را و يحبون را بدان‏,4.5
640,اخلاص,شحنه‏ى تقدير گويد راست گو  آن چه بردى شرح واده مو به مو,4
641,دوست نمای فرعی,هديه‏هاى دوستان با همديگر  نيست اندر دوستى الا صور,2.5
642,هوش کلی و جزوی,مر ترا عقل است جزوى در نهان‏  كامل العقلى بجو اندر جهان‏,3.5
643,سخن ناقص  سخن شر,حرف حكمت بر زبان ناحكيم‏  حله‏هاى عاريت دان اى سليم‏,3.5
644,اتحاد ظاهر و مظهر,گفت آری بندهٔ خاص گزین  گشت رنجور، او منم نیکو ببین,5
645,سبب و اسباب ,"خلق جمله علتى‏اند از كمين‏		يار علت مى‏شود علت بقين‏
",1
646,سجود (سجده),چون نشان مومنان مغلوبى است‏  ليك در اشكست مومن خوبى است‏,2
647,نبوت، رسالت,انبیا گفتند فال زشت و بد  از میان جانتان دارد مدد,5
648,غربت,صوفيان در جوع بودند و فقير  كاد فقر أن يعي كفرا يبير,2.5
649,حکایت اختلاف کردن در چگونگی و شکل پیل,اين سخن پايان ندارد باز ران‏  سوى اهل پيل و بر آغاز ران‏,4
650,تاویل,خود تبوراك است اين تهديدها  پيش آن چه ديده است اين ديدها,3.5
651,چون به صورت بنگری چشم تو دوست  تو به نورش در نگر کز چشم رست,"پنج حس ظاهر و پنج اندرون‏		ده صف‏اند اندر قيام الصافون‏
",0.5
652,اضداد در جهان,"آن جهان است اصل اين پر غم وثاق‏		وصل باشد اهل هر هجر و فراق‏
",0.5
653,و انچه او خواهد رساند آن به گوش‏  از سماع و از بشارت وز خروش‏,حق همى‏گويد كه آرى اى نزه‏  ليك بشنو صبر آر و صبر به‏,2
654,دوست نمای فرعی,هديه‏هاى دوستان با همديگر  نيست اندر دوستى الا صور,2.5
655,دیوانگی  دیوانه,يا منم ديوانه و خيره شده‏  ديو چيزى مر مرا بر سر زده‏,3.5
656,تجلی خداوند,"خالقى كه اختر و گردون كند		امر و نهى جاهلانه چون كند
",1
657,دیوانگی  دیوانه,خانه‏ى ديو است دلهاى همه‏  كم پذير از ديو مردم دمدمه‏,3
658,گفت آری بندهٔ خاص گزین  گشت رنجور، او منم نیکو ببین,"نفس و شيطان هر دو يك تن بوده‏اند		در دو صورت خويش را بنموده‏اند
",3.5
659,دیوانگی  دیوانه,دور دور از عقل چون درياى او  تا جنون باشد سفه فرماى او,3.5
660,هوشیاری و بیهوشی,آن زمانى كه در آيى تو ز خواب‏  هوش و حس رفته را خواند شتاب‏,3
661,او جمیل است و محب للجمال  کی جوان نو گزیند پیر زال؟,چون بهشتى جنس جنت آمده‏ست‏  هم ز جنسيت شود يزدان پرست‏,3.5
662,گوش كن چون حلقه اندر گوش كن‏  آن سخن را پيشواى هوش كن‏,زيركان كه مويها بشكافتند  علم هيات را به جان دريافتند,4
663,چشم دریا دیگر است و کف دگر  کف بهل، وز دیدۀ دریا نگر,غيرت حق پرده‏اى انگيخته‏ست‏  سفلى و علوى به هم آميخته‏ست‏,3
664,رزق,از هوس و ز حرص سود اندوختن‏  هر كسى دادى بدن را سوختن‏,3
665,اتحاد ظاهر و مظهر,"وحدتى كه ديد با چندين هزار		صد هزاران جنبش از عين قرار
",0.5
666,ای رهیده جان تو از ما و من  ای لطیفه روح اندر مرد و زن,كه فنا شد عاشق و معشوق نيز  هم نه چيزند و هواشان هم نه چيز,4
667,رضا,خشم مى‏آرد رضا را مى‏برد  بخل مى‏آرد سخا را مى‏برد,4.5
668,اين رجا و خوف در پرده بود  تا پس اين پرده پرورده شود,اين همه ترسنده‏اند از نيك و بد  هيچ ترسنده نترسد خود ز خود,4.5
669,وهم و فهم ,هر چه معقول است عقلش مى‏خورد  بى‏بيان معجزه بى‏جر و مد,2
670,یک ساعت عشق صد جهان بیش ارزد  صد جان به فدای عاشقی باد ای جان,"با محمد بود عشق پاك جفت‏		بهر عشق او را خدا لولاك گفت‏
",3.5
671,مشورت  مصاحبت و همنشینی,خوان و مهمانى پى اظهار راست‏  كاى مهان ما با شما گشتيم راست‏,2
672,غربت,آن چنان كز فقر مى‏ترسند خلق‏  زير آب شور رفته تا به حلق‏,1
673,عنایات حق,حق نمودش آن چه بنمودش تمام‏  گشت واقف بر سزاى انتقام‏,4
674,هوش جزوی و کلی,هوش را بگذار و آن گه هوش دار  گوش را بر بند و آن گه گوش دار,3.5
675,عشق,گر نبودی بهر عشق پاک را    کی وجودی دادمی افلاک را,5
676,خیال و وهم و گمان ,هر درونى كه خيال‏انديش شد  چون دليل آرى خيالش بيش شد,3.5
677,دیوانگی,يا منم ديوانه و خيره شده‏  ديو چيزى مر مرا بر سر زده‏,3.5
678,طلب,آن یکی در عهد داوود نبی  تزد هر دانا و پیش هر غبی,4
679,جسم و جان  صورت و معنی,صورت رفعت براى جسمهاست‏  جسمها در پيش معنى اسمهاست‏,4
680,جسم و جان  صورت و معنی,لفظ را ماننده‏ى اين جسم دان‏  معنيش را در درون مانند جان‏,5
681,وهم و خیال,خواب احمق لايق عقل وى است‏  همچو او بى‏قيمت است و لاشى است‏,2.5
682,راه لذت از درون دان نه از برون  ابلهی دان جستن قصر و حصون,"خود غريبى در جهان چون شمس نيست‏
",0.5
683,عنایات حق,اين محب حق ز بهر علتى‏  و آن دگر را بى‏غرض خود خلتى‏,3
684,رو و سر در جامه ها پیچیده اید  لاجرم با دیده و نادیده اید,روح زيبا چون كه وا رست از جسد  از قضا بى‏شك چنين چشمش رسد,2.5
685,هوش جزوی و کلی,عقل جزوى عقل را بد نام كرد  كام دنيا مرد را بى‏كام كرد,4
686,ضرورت پیروی از پیر و اولیا,بهر او گفتيم كه تدبير را  چون كه خواهى كرد بگزين پير را,4.5
687,جمله قرآن هست در قطع سبب  عز درویش و هلاک بولهب,"همچنين ز آغاز قرآن تا تمام‏		رفض اسباب است و علت و السلام‏
",1.5
688,راز هستی,"چون كه كشته گردد اين جسم گران‏		زنده گردد هستى اسرار دان‏
",2
689,سجود (سجده),سجده‏گه را تر كن از اشك روان‏  كاى خدا تو وارهانم زين گمان‏,4
690,هوش جزوی و کلی,عقل دو عقل است اول مكسبى‏  كه در آموزى چو در مكتب صبى‏,4
691,ولی,الى آخره‏,0
692,گفت اگرچه پاکم از ذکر شما  نیست لایق مرمرا تصویرها,مى‏گريزد ضدها از ضدها  شب گريزد چون بر افروزد ضيا,4.5
693,تزکیۀ نفس، نتیجه,در عيادت رفتن تو فايده است‏  فايده آن باز با تو عايده است‏,2
694,خیال و وهم و گمان ,وز نياز عاجزانه‏ى خويشتن‏  وز خيال و وهم من يا صد چو من‏,4
695,در نهان خاکی و موزوم میشود  چون به موسی میرسم چون میشوم,غير پير استاد و سر لشكر مباد  پير گردون نى ولى پير رشاد,4
696,وحدت وجود,"مثنوى ما دكان وحدت است‏		غير واحد هر چه بينى آن بت است‏
",0.5
697,بل که می افتی ز لرزه دل به وهم  ترس وهمی را نکو بنگر، بفهم,هر چه معقول است عقلش مى‏خورد  بى‏بيان معجزه بى‏جر و مد,2
698,عنایات حق,حق بفرمايد كه نز خوارى اوست‏  عين تاخير عطا يارى اوست‏,4
699,تقلید,شکر دانستیم آغاز تو را  انبیا گفتند آن راز تو را,3
700,راز هستی,بهر این آوردمان یزدان برون  ما خلقت الانس الا یعبدون,5
701,شاد از وی شو مشو از غیر وی  او بهار است و دگرها ماه دی,بهر استبقاى حيوان چند روز  نام آن كردند اين گيجان رموز,4
702,عشق نان مرده را می جان کند  جان که فانی بود جاویدان کند,"ناف ما بر مهر او ببريده‏اند		عشق او در جان ما كاريده‏اند
",1
703,بازرو سوی علی و خونی اش  وآن کرم با خونی و افزونی اش,مرده گردد شخص كاو بى‏جان شود  خر شود چون جان او بى‏آن شود,5
704,قهر و لطف,"لطف از حق است ليكن اهل تن‏		در نيابد لطف بى‏پرده‏ى چمن‏
",1.5
705,پیوند عشق مجازی با عشق حقیقی,چون وفا آن عشق افزون مى‏كند  كى وفا صورت دگرگون مى‏كند,3.5
706,تزکیۀ نفس,آن ملايك جمله عقل و جان بدند  جان نو آمد كه جسم آن بدند,1
707,درهوایت بی قرارم روز و شب  سر ز پایت بر ندارم روز و شب,"در دل معشوق جمله عاشق است‏		در دل عذرا هميشه وامق است‏
",4
708,سجود (سجده),سر برآرد از رکوع آن شزمسار  باز اندر رو فتد آن خام کار,4
709,سجود (سجده),سجده خود را مى‏كند هر لحظه او  سجده پيش آينه‏ست از بهر رو,4
710,فراست,چون ز حد بيرون بلرزيد و طپيد  مصطفايش در كنار خود كشيد,3.5
711,سخن ناقص  سخن شر,آن كه گويد جمله حقند احمقى است‏  و انكه گويد جمله باطل او شقى است‏,2.5
712,عالم توحید,تفرقه بر خيزد و شرك و دوى‏  وحدت است اندر وجود معنوى‏,3
713,توکل,تا يقين گردد مرا ايقان تو  و اعتقاد خوب با برهان تو,3.5
714,آواز مطرب و آواز اولیاء,هست بر سمع و بصر مهر خدا  در حجب بس صورت است و بس صدا,4
715,مشورت  مصاحبت و همنشینی,از منازل خفته بگذشتيد و مست‏  بى‏خبر از راه و از بالا و پست‏,2.5
716,اتحاد ظاهر و مظهر,چون مرا دیدی خدا را دیده‌ای  گرد کعبهٔ صدق بر گردیده‌ای,5
717,فنا و بقا,اين نه ميراث جهان فانى است‏  كه به انسابش بيابى جانى است‏,3.5
718,نشانۀ دوستی,هر حسد از دوستى خيزد يقين‏  كه شود با دوست غيرى همنشين‏,4
719,فنا و عشق,عشق شوى و شهوت و حرصش تمام‏  عشق صيد و پاره پاره گشته دام‏,3
720,خداشناسی ,چون نمی‌داند دل داننده‌ای  هست با گردنده گرداننده‌ای,5
721,تزکیۀ نفس، نتیجه,بر جنایاتت مواسا میکنند  در میان جان تو را جا میکنند,4
722,از قصور چشم باشد آن عثار  كه نبيند شيب و بالا كوروار,چون تو جبر او نمى‏بينى مگو  ور همى‏بينى نشان ديد كو,3
723,دور دور ازعقل چون دریای او  تا جنون باشد سفه فرمای او,مرده گردد شخص كاو بى‏جان شود  خر شود چون جان او بى‏آن شود,1.5
724,بر جنایاتت مواسا میکنند  در میان جان تو را جا میکنند,گفت حق تمييز را پيدا كنم‏  عقل بى‏تمييز را بينا كنم‏,2
725,هستی و خداوند,قالبت پيدا و آن جانت نهان‏  راست شد زين هر دو اسباب جهان‏,3.5
726,مشورت  مصاحبت و همنشینی,گفت آن ماهى زيرك ره كنم‏  دل ز راى و مشورتشان بر كنم‏,4
727,بسته پایی چون گیا اندر زمین  سر بجنبانی به بادی بی یقین,زشت آن زشت است و خوب آن خوب و بس‏  دايم آن ضحاك و اين اندر عبس‏,3
728,امتحان الهی,نى خدا را امتحانى مى‏كنند  نى در سود و زيانى مى‏زنند,4
729,ادب,چون قلم از باد بد دفتر ز آب‏  هر چه بنويسى فنا گردد شتاب‏,1
730,ویرانی  آبادانی,تا شود زفت و نمايد آن عظيم‏  چون در آيد سوى محفل در حطيم‏,1
731,معجره,آن خداوندى كه دزديده بود  بى‏دل و بى‏جان و بى‏ديده بود,3
732,هر كه بيرون شد ز حس سنى وى است‏  اهل بينش چشم عقل خوش پى است‏,ليك يك يك را خدا محسوس كرد  تا كه بيند نيز او كه نيست مرد,3
733,آن شعاعی بود بر دیوارشان  جانب خورشید وارفت آن نشان,پس چه باشد عشق درياى عدم‏  در شكسته عقل را آن جا قدم‏,3.5
734,ویرانی  آبادانی,فتنه‏ها و شورها انگيخته‏  بندگان و خسروان آميخته‏,2
735,نشانۀ دوستی,آن يكى را روى او شد سوى دوست‏  و آن يكى را روى او خود روى دوست‏,3.5
736,خواب,اين جهان خواب است اندر ظن مه‏ايست‏  گر رود در خواب دستى باك نيست‏,4
737,و انچه او خواهد رساند آن به گوش‏  از سماع و از بشارت وز خروش‏,اى كه صبرت نيست از ناز و نعيم‏  صبر چون دارى از اللَّه كريم‏,4
738,تجلی خداوند,"سنت و عادت نهاده با مزه‏		باز كرده خرق عادت معجزه‏
",1
739,عدم,"آن مواليد از ره اين چار نيست‏		لاجرم منظور اين ابصار نيست‏
",0.5
740,قهر و لطف,"روى خوبان ز آينه زيبا شود		روى احسان از گدا پيدا شود
",1
741,هوشیاری,هوش تو بى‏مى چنين پژمرده است‏  هوشها بايد بر آن هوش تو بست‏,4
742,عدم,پس عدم گردم عدم چون ارغنون          گویدم انّا الیه راجعون,5
743,خویش را تعلیم کن عشق و نظر    کان بود چون نقش فی جرم الحجر,عشق معشوقان دو رخ افروخته‏  عشق عاشق جان او را سوخته‏,5
744,عقل ,مشورت ادراك و هشيارى دهد  عقلها مر عقل را يارى دهد,4.5
745,چار طبع و علت اولى نى‏ام‏  در تصرف دايما من باقى‏ام‏,"و آن فضاى خرق اسباب و علل‏		هست ارض اللَّه اى صدر اجل‏
",0.5
746,کین مدار، آنها که از کین گمرهند  گورشان پهلوی کین داران نهند,گر نديدى جنس خود كى آمدى‏  كى به غير جنس خود را بر زدى‏,4
747,شادباش ای عشق خوش سودای ما    ای طبیب جمله علت های ما,چون وفا آن عشق افزون مى‏كند  كى وفا صورت دگرگون مى‏كند,4
748,هوشیاری,هوشيارى ز آن جهان است و چو آن‏  غالب آيد پست گردد اين جهان‏,3.5
749,معرفت,گنج مخفی بد، ز پری چاک کرد  خاک را تابان تر از افلاک کرد,5
750,گل مخور، گل را مخر، گل را مجو  زآن که گل خوار است دایم زردرو,لابه كردى در نماز و در دعا  كاى خداوند و نگهبان رعا,4.5
751,از نوايت گوش ياران بود خوش‏  دست بيرون آر و گوش خود بكش‏,گر شنيدى اذن كى ماندى اذن‏  يا كجا كردى دگر ضبط سخن‏,3.5
752,زهد اندر كاشتن كوشيدن است‏  معرفت آن كشت را روييدن است‏,چون بدانستى سبب را سهل شد  دانش اسباب دفع جهل شد,4
753,امتحان,آن خدا را مى‏رسد كاو امتحان‏  پيش آرد هر دمى با بندگان‏,3.5
754,رو سپس کردم بدان محض کرم  سوی فعل خویشتن می‌ننگرم,"سَبَّحَ لِلَّهِ* هست اشتابشان‏		تنقيه‏ى تن مى‏كنند از بهر جان‏
",1
755,عنایات حق,گفت آدم كه ظلمنا نفسنا  او ز فعل حق نبد غافل چو ما,3.5
756,توکل,گر چه در ايمان و دين ناموقنم‏  ليك در ايمان او بس مومنم‏,4.5
757,جنس  هم جنس,ور ز غير جنس باشد ذوق ما  آن مگر مانند باشد جنس را,3.5
758,عشق,عشق قهارست و من مقهور عشق  چون شکر شیرین شدم از شور عشق,5
759,اتحاد ظاهر و مظهر,ور برای بنده‌شست این گفت تو  آنک حق گفت او منست و من خود او,5
760,کریم بودن خداوند,"ده خداوندى عاريت به حق‏		تا خداونديت بخشد متفق‏
",2.5
761,هوشیاری,پس يقين گشت اين كه بيمارى ترا  مى‏ببخشد هوش و بيدارى ترا,4
762,فراست,فر فردوسى است اين پاليز را  شعشعه‏ى عرشى است اين تبريز را,1.5
763,وحدت وجود,منبسط بودیم یک جوهر همه  بی‌سر و بی پا بدیم آن سر همه,5
764,معجزه,همچو من كه بر هوا راكب شدم‏  در شب معراج مستصحب شدم‏,4
765,پیوند عشق مجازی با عشق حقیقی,عاشق آن وهم اگر صادق بود  آن مجاز او حقيقت كش شود,5
766,مکر الهی,مغفرت مى‏خواهد از جرم و خطا  از پس آن پرده از لطف خدا,3.5
767,غذا و طعام,كه چه خواهم خورد فردا وقت خور  سالها اين است كار آن بقر,2.5
768,نتیجۀ صبر,اى كه صبرت نيست از دنياى دون‏  چونت صبر است از خدا اى دوست چون‏,3
769,من به تبلیغ رسالت آمدم  تا رهانم مر شما را از ندم,"اى رسولان مى‏فرستمتان رسول‏		رد من بهتر شما را از قبول‏
",4
770,عشق ,"عشق قهار است و من مقهور عشق‏		چون شكر شيرين شدم از شور عشق‏
",3
771,تزکیۀ نفس، نتیجه,چون كه تقوى بست دو دست هوا  حق گشايد هر دو دست عقل را,3
772,قضا و قدر,حق تعالى عادل است و عادلان‏  كى كنند استمگرى بر بى‏دلان‏,2
773,هوشیاری,هش چه باشد عقل كل هوشمند  هوش جزوى هش بود اما نژند,3
774,دوست نمای فرعی,صورت معشوق زو شد در نهفت‏  رفت و شد با معنى معشوق جفت‏,4
775,هوشيارى آفتاب و حرص يخ‏  هوشيارى آب و اين عالم وسخ‏,بر جهد و ان خار محكمتر زند  عاقلى بايد كه خارى بر كند,3.5
776,اخلاص,صدق تو آورد در جستن ترا  جستنم آورد در صدقى مرا,3.5
777,لذت,"زين چنين قحط سه ساله داد داد		ظل مولانا ابد پاينده باد
",1.5
778,منبسط بودیم یک جوهر همه  بی‌سر و بی پا بدیم آن سر همه,"تفرقه بر خيزد و شرك و دوى‏		وحدت است اندر وجود معنوى‏
",0
779,تاویل,ليك بر مقتل نيامد تيرها  كار بخت است اين نه جلدى و دها,2
780,حکایت اختلاف کردن در چگونگی و شکل پیل,ماه مى‏گويد كه اى پيلان رويد  چشمه آن ماست زين يك سو شويد,3
781,غذا و طعام,آن غذاى خاصگان دولت است‏  خوردن آن بى‏گلو و آلت است‏,3.5
782,اضداد در جهان,"بى‏تحرى و اجتهادات هدى‏		هر كه بدعت پيشه گيرد از هوا
",0
783,آفت این در هوا و شهوت است  ورنه آنجا شربت اندر شربت است,چشم حس را هست مذهب اعتزال‏  ديده‏ى عقل است سنى در وصال‏,1
784,خواب,در میان گریه خوابش در ربود  دید در خواب او پیری رونمود,5
785,عشق و عقل,عقل حيران كه چه عشق است و چه حال‏  تا فراق او عجبتر يا وصال‏,4
786,حکایت اختلاف کردن در چگونگی و شکل پیل,موجهاى جنگ بر شكل دگر  مهرها را مى‏كند زير و زبر,4.5
787,غربت,گفت: با آن کس که ما را آفرید  این زمین و چرخ از او آمد پدید,4
788,نبوت، رسالت,"ز انكه ميراث از رسول آن است و بس‏		كه ببيند غيبها از پيش و پس‏
",3
789,خوف و رجا,من بترسانم وقيح ياوه را  آن كه ترسد من چه ترسانم و را,3
790,غربت,فقر لقمه دارد او نى فقر حق‏  پيش نقش مرده‏اى كم نه طبق‏,0
791,در پناه لطف حق بايد گريخت‏  كاو هزاران لطف بر ارواح ريخت‏,تزكيه بايد گواهان را بدان‏  تزكيه‏ش صدقى كه موقوفى به آن‏,2
792,جسم و جان  صورت و معنی,وز تو جزو جنتی ای نامدار  عیش تو اشد ز جنت پایدار,5
793,هستی و خداوند,چون شدى من كان لله از وله‏  من ترا باشم كه كان اللَّه له‏,3
794,هوش جزوی و کلی,هوش را بگذار و آن گه هوش دار  گوش را بر بند و آن گه گوش دار,3
795,دوست نمای فرعی,او همى‏بيند كه آن از بهر اوست‏  چشم دشمن بسته ز آن و چشم دوست‏,4.5
796,جهد و کوشش,جهد می‌کن تا توانی ای کیا  در طریق انبیاء و اولیا,5
